clock,generation,n,r_with_chron_age,mae_vs_chron_age,gap_sd,residual_gap_sd
Horvathv1,1st,656,0.9183434706089901,4.770649963104331,5.88064454448676,5.059216085683969
Hannum,1st,656,0.9460743050004257,5.512009011597513,4.845270180061749,4.248172312152237
GrimAgeV2,2nd,656,0.9166285260907099,6.189201302263089,6.366437056247052,4.434567336507426
GrimAgeV1,2nd,656,0.9413588421660697,4.404789064887551,5.442933616108132,3.9336346452027984
PhenoAge,2nd,656,0.8520562743130794,9.041777906226322,7.750047468279376,6.963951321217655
